mm_id,entity_id,traj_id,rid_list,time_list
122099,150,189,"18899,39484,10730,4178,20749,2057,38273,39346,7366,39342,2053,36092,6825,20941,12674,5904,14936,18654,18647,21439,2490,18641,16171,16157,5833,5817,5813,35203,5861","2015-11-06T20:23:05Z,2015-11-06T20:24:35Z,2015-11-06T20:24:39Z,2015-11-06T20:25:08Z,2015-11-06T20:25:09Z,2015-11-06T20:26:59Z,2015-11-06T20:27:08Z,2015-11-06T20:27:23Z,2015-11-06T20:27:34Z,2015-11-06T20:27:39Z,2015-11-06T20:29:44Z,2015-11-06T20:29:46Z,2015-11-06T20:30:09Z,2015-11-06T20:30:39Z,2015-11-06T20:31:39Z,2015-11-06T20:32:09Z,2015-11-06T20:32:32Z,2015-11-06T20:32:41Z,2015-11-06T20:33:40Z,2015-11-06T20:34:09Z,2015-11-06T20:36:33Z,2015-11-06T20:36:41Z,2015-11-06T20:36:47Z,2015-11-06T20:38:09Z,2015-11-06T20:39:11Z,2015-11-06T20:40:41Z,2015-11-06T20:41:41Z,2015-11-06T20:42:10Z,2015-11-06T20:43:10Z"
4551995,5619,187,"17405,33765,21749,23464,23462,14262,599,14270,14264,14266,2509,14294,14330,14298,14307,14273,14292,1967,14302,19266,19277,19329,19332,19346,2513,19359,19289,19312,3645,1262,21859,24711,21794,21814,752,21862,21822,22146,21869,21827,32980,369,23880","2015-11-07T08:55:53Z,2015-11-07T08:56:59Z,2015-11-07T08:57:59Z,2015-11-07T08:58:29Z,2015-11-07T08:58:44Z,2015-11-07T08:58:59Z,2015-11-07T08:59:04Z,2015-11-07T08:59:12Z,2015-11-07T08:59:29Z,2015-11-07T08:59:56Z,2015-11-07T09:00:29Z,2015-11-07T09:00:45Z,2015-11-07T09:00:50Z,2015-11-07T09:00:59Z,2015-11-07T09:01:16Z,2015-11-07T09:01:29Z,2015-11-07T09:01:37Z,2015-11-07T09:01:59Z,2015-11-07T09:02:03Z,2015-11-07T09:02:29Z,2015-11-07T09:03:59Z,2015-11-07T09:04:29Z,2015-11-07T09:04:59Z,2015-11-07T09:05:29Z,2015-11-07T09:06:29Z,2015-11-07T09:06:59Z,2015-11-07T09:07:59Z,2015-11-07T09:08:26Z,2015-11-07T09:08:29Z,2015-11-07T09:08:59Z,2015-11-07T09:09:36Z,2015-11-07T09:09:46Z,2015-11-07T09:09:55Z,2015-11-07T09:09:59Z,2015-11-07T09:10:24Z,2015-11-07T09:10:29Z,2015-11-07T09:11:29Z,2015-11-07T09:11:45Z,2015-11-07T09:11:55Z,2015-11-07T09:11:59Z,2015-11-07T09:12:29Z,2015-11-07T09:12:59Z,2015-11-07T09:13:00Z"
15837353,19550,67,"38761,942,22585,2292,2290,2297,16699,16690,16585,863,865,18872,17527,848,18866,16686,16681,16677,30968,16674,16672,16665,16656,16650,19226,494,21161,495,19221,497,17380,17376,2708,498,20930,22923,17369,20925,20920,8301,19976,499,17258,38028,8279,8277,17249,26914,17248,3214","2015-11-03T10:04:03Z,2015-11-03T10:04:16Z,2015-11-03T10:07:19Z,2015-11-03T10:07:37Z,2015-11-03T10:07:56Z,2015-11-03T10:08:46Z,2015-11-03T10:09:16Z,2015-11-03T10:09:36Z,2015-11-03T10:09:39Z,2015-11-03T10:09:46Z,2015-11-03T10:09:50Z,2015-11-03T10:09:53Z,2015-11-03T10:09:53Z,2015-11-03T10:09:54Z,2015-11-03T10:09:55Z,2015-11-03T10:09:56Z,2015-11-03T10:10:10Z,2015-11-03T10:10:16Z,2015-11-03T10:10:26Z,2015-11-03T10:10:31Z,2015-11-03T10:10:46Z,2015-11-03T10:11:05Z,2015-11-03T10:11:16Z,2015-11-03T10:11:29Z,2015-11-03T10:11:46Z,2015-11-03T10:12:02Z,2015-11-03T10:12:16Z,2015-11-03T10:13:46Z,2015-11-03T10:14:03Z,2015-11-03T10:14:16Z,2015-11-03T10:15:09Z,2015-11-03T10:15:13Z,2015-11-03T10:15:16Z,2015-11-03T10:16:16Z,2015-11-03T10:18:03Z,2015-11-03T10:18:16Z,2015-11-03T10:18:37Z,2015-11-03T10:18:46Z,2015-11-03T10:19:30Z,2015-11-03T10:19:46Z,2015-11-03T10:20:51Z,2015-11-03T10:21:07Z,2015-11-03T10:21:13Z,2015-11-03T10:21:16Z,2015-11-03T10:21:40Z,2015-11-03T10:22:16Z,2015-11-03T10:22:46Z,2015-11-03T10:23:00Z,2015-11-03T10:23:16Z,2015-11-03T10:23:46Z"
16676205,20550,5,"34770,34772,7912,2425,469,21498,21504,3950,481,19884,14681","2015-11-01T09:24:48Z,2015-11-01T09:25:02Z,2015-11-01T09:26:02Z,2015-11-01T09:26:15Z,2015-11-01T09:26:25Z,2015-11-01T09:27:02Z,2015-11-01T09:27:16Z,2015-11-01T09:28:02Z,2015-11-01T09:29:53Z,2015-11-01T09:30:02Z,2015-11-01T09:30:43Z"
3053450,3770,34,"10461,10367,5417,4390,18172,10286,15822,10433,10305,10438,3316,19113,10421,10338,31227,10370,17888,3319,3322,209,11554,212,19055,25113,25111,11689,19050","2015-11-01T21:15:17Z,2015-11-01T21:16:27Z,2015-11-01T21:17:00Z,2015-11-01T21:17:18Z,2015-11-01T21:17:20Z,2015-11-01T21:17:27Z,2015-11-01T21:18:17Z,2015-11-01T21:18:27Z,2015-11-01T21:19:22Z,2015-11-01T21:19:52Z,2015-11-01T21:20:23Z,2015-11-01T21:20:25Z,2015-11-01T21:20:44Z,2015-11-01T21:21:27Z,2015-11-01T21:22:05Z,2015-11-01T21:22:27Z,2015-11-01T21:23:20Z,2015-11-01T21:23:27Z,2015-11-01T21:24:27Z,2015-11-01T21:25:16Z,2015-11-01T21:25:27Z,2015-11-01T21:26:23Z,2015-11-01T21:26:27Z,2015-11-01T21:27:11Z,2015-11-01T21:27:27Z,2015-11-01T21:27:57Z,2015-11-01T21:28:27Z"
14485409,17860,199,"12170,33479,6409,16596,16600,16603,12402,19142,16610,16615,19144,21472,20981,16619,20006,21001,16625,67,21477,4172,16647,16655,14482,16678,16682,16685,18864,16687,17530,18874,16689,18880,34029,22767,33864,33860,16694,31668,16588,477,2298,951,950,32342,16593,945,17554,17562,17360,8181,2486,17590,36955,8130,24103,33260,24109,24108","2015-11-06T14:42:48Z,2015-11-06T14:43:12Z,2015-11-06T14:43:15Z,2015-11-06T14:43:35Z,2015-11-06T14:43:37Z,2015-11-06T14:44:25Z,2015-11-06T14:44:31Z,2015-11-06T14:44:37Z,2015-11-06T14:44:49Z,2015-11-06T14:45:07Z,2015-11-06T14:45:16Z,2015-11-06T14:45:18Z,2015-11-06T14:45:19Z,2015-11-06T14:45:19Z,2015-11-06T14:45:20Z,2015-11-06T14:45:20Z,2015-11-06T14:45:37Z,2015-11-06T14:45:44Z,2015-11-06T14:46:02Z,2015-11-06T14:46:09Z,2015-11-06T14:46:25Z,2015-11-06T14:46:33Z,2015-11-06T14:46:37Z,2015-11-06T14:47:09Z,2015-11-06T14:47:14Z,2015-11-06T14:47:22Z,2015-11-06T14:47:23Z,2015-11-06T14:47:24Z,2015-11-06T14:47:24Z,2015-11-06T14:47:25Z,2015-11-06T14:47:27Z,2015-11-06T14:47:37Z,2015-11-06T14:47:48Z,2015-11-06T14:48:14Z,2015-11-06T14:48:30Z,2015-11-06T14:48:31Z,2015-11-06T14:48:38Z,2015-11-06T14:49:38Z,2015-11-06T14:50:04Z,2015-11-06T14:50:32Z,2015-11-06T14:50:38Z,2015-11-06T14:50:46Z,2015-11-06T14:50:57Z,2015-11-06T14:51:19Z,2015-11-06T14:51:20Z,2015-11-06T14:51:37Z,2015-11-06T14:51:56Z,2015-11-06T14:52:01Z,2015-11-06T14:52:37Z,2015-11-06T14:54:31Z,2015-11-06T14:54:35Z,2015-11-06T14:54:38Z,2015-11-06T14:55:38Z,2015-11-06T14:56:06Z,2015-11-06T14:56:38Z,2015-11-06T14:57:04Z,2015-11-06T14:57:38Z,2015-11-06T14:58:38Z"
13018154,16044,246,"20179,35666,20175,20173,20170,1458,13763,1460,22545,22539,18109,18107,859,860,20238,862,17124,8717,8738,17122,8720,2436,941,17561,2070,17562,17360,8181,2486,17590,36955,8130,24104,17806,4692,21493,1951,18813,1948,18812,21492,4680,15666,2715,21587,21585,4696,18462,17800,4698,18495,5471,15709,25060","2015-11-05T09:21:28Z,2015-11-05T09:23:28Z,2015-11-05T09:24:24Z,2015-11-05T09:24:29Z,2015-11-05T09:24:33Z,2015-11-05T09:24:38Z,2015-11-05T09:26:28Z,2015-11-05T09:26:54Z,2015-11-05T09:27:02Z,2015-11-05T09:27:10Z,2015-11-05T09:27:19Z,2015-11-05T09:27:28Z,2015-11-05T09:27:32Z,2015-11-05T09:27:42Z,2015-11-05T09:28:28Z,2015-11-05T09:34:28Z,2015-11-05T09:35:22Z,2015-11-05T09:35:41Z,2015-11-05T09:35:58Z,2015-11-05T09:36:28Z,2015-11-05T09:37:55Z,2015-11-05T09:39:28Z,2015-11-05T09:40:28Z,2015-11-05T09:41:57Z,2015-11-05T09:42:23Z,2015-11-05T09:42:28Z,2015-11-05T09:43:03Z,2015-11-05T09:43:28Z,2015-11-05T09:43:28Z,2015-11-05T09:43:29Z,2015-11-05T09:43:59Z,2015-11-05T09:44:29Z,2015-11-05T09:44:58Z,2015-11-05T09:45:13Z,2015-11-05T09:45:29Z,2015-11-05T09:45:55Z,2015-11-05T09:45:56Z,2015-11-05T09:45:57Z,2015-11-05T09:45:58Z,2015-11-05T09:45:59Z,2015-11-05T09:46:00Z,2015-11-05T09:46:23Z,2015-11-05T09:46:29Z,2015-11-05T09:47:05Z,2015-11-05T09:47:29Z,2015-11-05T09:47:43Z,2015-11-05T09:48:25Z,2015-11-05T09:48:29Z,2015-11-05T09:48:43Z,2015-11-05T09:48:46Z,2015-11-05T09:49:03Z,2015-11-05T09:49:04Z,2015-11-05T09:49:20Z,2015-11-05T09:49:29Z"
6118339,7518,207,"13603,6731,1144,20432,1146,3420,3408,37978,781,25042,13552,20319,58,13404,3631,3538,1321,3628,785,3560,15498,15472,15478,37710,8005,21771,21774,8168,8153,25725,8151,8156,8169,20039,20049,8171,20076,24927,8173,24893,8176,8182,5753,21046,17194,8177,8180,17203,17204,13815,17208,4687,26393,17153,1167,32374,32376,32377,36174","2015-11-07T09:34:33Z,2015-11-07T09:36:01Z,2015-11-07T09:36:03Z,2015-11-07T09:36:33Z,2015-11-07T09:37:03Z,2015-11-07T09:37:25Z,2015-11-07T09:37:26Z,2015-11-07T09:39:36Z,2015-11-07T09:39:39Z,2015-11-07T09:40:08Z,2015-11-07T09:40:33Z,2015-11-07T09:41:01Z,2015-11-07T09:41:03Z,2015-11-07T09:42:03Z,2015-11-07T09:43:37Z,2015-11-07T09:43:49Z,2015-11-07T09:43:58Z,2015-11-07T09:44:03Z,2015-11-07T09:46:03Z,2015-11-07T09:46:45Z,2015-11-07T09:46:46Z,2015-11-07T09:47:03Z,2015-11-07T09:48:54Z,2015-11-07T09:49:03Z,2015-11-07T09:50:03Z,2015-11-07T09:52:01Z,2015-11-07T09:52:03Z,2015-11-07T09:53:03Z,2015-11-07T09:54:54Z,2015-11-07T09:54:59Z,2015-11-07T09:55:03Z,2015-11-07T09:55:31Z,2015-11-07T09:56:03Z,2015-11-07T09:56:57Z,2015-11-07T09:56:59Z,2015-11-07T09:57:01Z,2015-11-07T09:57:03Z,2015-11-07T09:57:24Z,2015-11-07T09:58:03Z,2015-11-07T09:59:03Z,2015-11-07T10:00:21Z,2015-11-07T10:00:34Z,2015-11-07T10:01:03Z,2015-11-07T10:02:03Z,2015-11-07T10:02:20Z,2015-11-07T10:02:21Z,2015-11-07T10:02:22Z,2015-11-07T10:02:45Z,2015-11-07T10:02:53Z,2015-11-07T10:03:03Z,2015-11-07T10:04:03Z,2015-11-07T10:06:03Z,2015-11-07T10:07:03Z,2015-11-07T10:09:52Z,2015-11-07T10:10:03Z,2015-11-07T10:10:09Z,2015-11-07T10:10:39Z,2015-11-07T10:10:41Z,2015-11-07T10:11:03Z"
12508072,15400,189,"28765,31735,38761,942,22585,2293,18895,16595,5754,5757,17185,18888","2015-11-04T18:31:33Z,2015-11-04T18:31:58Z,2015-11-04T18:32:32Z,2015-11-04T18:33:32Z,2015-11-04T18:34:32Z,2015-11-04T18:35:32Z,2015-11-04T18:37:32Z,2015-11-04T18:39:34Z,2015-11-04T18:40:28Z,2015-11-04T18:40:32Z,2015-11-04T18:41:17Z,2015-11-04T18:41:32Z"
12642242,15559,16,"193,20133,6473,20124,169,1759,20294,20213,20198,20269,939,6451,17043,16977,16945,16944,16942,16935,33385,27974","2015-11-01T10:35:12Z,2015-11-01T10:36:30Z,2015-11-01T10:36:37Z,2015-11-01T10:37:08Z,2015-11-01T10:37:12Z,2015-11-01T10:38:12Z,2015-11-01T10:39:22Z,2015-11-01T10:39:23Z,2015-11-01T10:39:24Z,2015-11-01T10:39:26Z,2015-11-01T10:39:30Z,2015-11-01T10:40:12Z,2015-11-01T10:40:36Z,2015-11-01T10:40:43Z,2015-11-01T10:41:00Z,2015-11-01T10:41:01Z,2015-11-01T10:41:03Z,2015-11-01T10:41:12Z,2015-11-01T10:41:46Z,2015-11-01T10:42:12Z"
